group_slug,group_name,group_legal_name_guess,group_website,group_weddings_url,group_hq_state,group_hq_suburb,group_size_estimate,abn_lookup_strategy,group_notes
merivale,Merivale,Merivale Group Pty Ltd,https://merivale.com,https://merivale.com/partiesandevents/weddings-engagements/,NSW,Sydney,70+,operator_group_lookup,Founded 1958. Run by Justin Hemmes since 2007. ALREADY SEEDED.
solotel,Solotel,Solotel Pty Ltd / Solomon Family,https://solotel.com.au,https://solotel.com.au/weddings,NSW,Sydney,30,operator_group_lookup,"Family-owned Solomon family. CEO Elliot Solomon. 26-30 venues across NSW + QLD."
trippas-white,Trippas White Group,Trippas White Group Pty Ltd,https://trippaswhitegroup.com.au,https://trippaswhitegroup.com.au/events/weddings/,NSW,Sydney,150+,operator_group_lookup,"Manages 150+ venues. 17 wedding-relevant including Sydney Opera House, Taronga Zoo, Sydney Tower, AWM, NGA Canberra."
grand-pacific-group,Grand Pacific Group,Grand Pacific Group Pty Ltd,https://grandpacificgroup.com.au,https://grandpacificgroup.com.au,NSW,Mosman,7,operator_group_lookup,Sydney harbour heritage. Different operator to thevenuesco.au — DO NOT CONFLATE.
the-venues-collection,The Venues Collection,The Venues Collection Pty Ltd,https://thevenuesco.au,https://thevenuesco.au/weddings/,NSW,Sydney,6,operator_group_lookup,"Watersedge, Orso Bayside etc. Different to Grand Pacific Group despite name overlap."
doltone-house,Doltone House,Doltone House Pty Ltd / Signorelli Family,https://doltonehouse.com.au,https://doltonehouse.com.au/wedding-events/,NSW,Sydney,6,operator_group_lookup,Signorelli family-owned. Sydney harbour and Western Sydney.
navarra-venues,Navarra Venues,Navarra Venues Pty Ltd / Navarra Family,https://navarravenues.com.au,https://navarravenues.com.au/weddings,NSW,Macquarie Park,6,operator_group_lookup,"Navarra family. Curzon Hall ('Sydney's only castle'), Le Montage, Oatlands House."
fink-group,Fink Group,Fink Group Pty Ltd / Leon Fink,https://finkgroup.com.au,,NSW,Sydney,5,operator_group_lookup,"Premium restaurant group. Quay, Bennelong, Otto Sydney, Bea, Beach Byron Bay."
sydney-restaurant-group,Sydney Restaurant Group,Sydney Restaurant Group Pty Ltd,https://srghospitality.com.au,https://srghospitality.com.au/venues/,NSW,Sydney,8,operator_group_lookup,"Iconic waterfront dining. Aqua Dining, The Fenwick, Sails, Ventuno, Ripples Chowder Bay."
dedes-waterfront,Dedes Waterfront Group,Dedes Group Pty Ltd / Dedes Family,https://dedesgroup.com.au,https://dedesgroup.com.au/weddings/,NSW,Sydney,4,operator_group_lookup,"Dedes family. Deckhouse, Flying Fish, Dedes at the Point, Le Shed."
dockside-group,Dockside Group,Dockside Group Pty Ltd,https://docksidegroup.com.au,https://docksidegroup.com.au,NSW,Sydney,4,operator_group_lookup,"Long-running. Dockside, L'Aqua, Star Room, Pier One."
zest-waterfront,Zest Waterfront Venues,Zest Waterfront Venues Pty Ltd,https://zest.net.au,https://zest.net.au/weddings/,NSW,Point Piper,3,operator_group_lookup,"Beach and yacht clubs. Beachhouse Point Piper, Boathouse Spit."
public-hospitality,Public Hospitality Group,Public Hospitality Group Pty Ltd / Jon Adgemis,https://publichospitality.com.au,https://publichospitality.com.au,NSW,Sydney,12,operator_group_lookup,"Jon Adgemis. The Old Fitz, Oxford House, The Strand. Note: Adgemis has insolvency issues — relevant data point."
applejack,Applejack Hospitality,Applejack Hospitality Pty Ltd,https://applejackhospitality.com.au,https://applejackhospitality.com.au,NSW,Sydney,7,operator_group_lookup,"Sydney boutique. Butler, Botanist Kirribilli, SoCal, Endeavour Tap Rooms."
boathouse-group,The Boathouse Group,The Boathouse Group Pty Ltd / Sinclair Brothers,https://theboathousegroup.com.au,https://theboathousegroup.com.au/venues,NSW,Northern Beaches,5,operator_group_lookup,"Sinclair brothers. Northern Beaches waterfront."
laundy-hotels,Laundy Hotels,Laundy Hospitality / Arthur Laundy,https://laundyhotels.com.au,,NSW,Sydney,70+,operator_group_lookup,"Arthur Laundy family. Over 70 hotels. Watsons Bay, Tea Gardens, Log Cabin."
escarpment-group,Escarpment Group,Escarpment Group Pty Ltd,https://escarpmentgroup.com.au,https://escarpmentgroup.com.au,NSW,Blue Mountains,4,operator_group_lookup,"Blue Mountains heritage. Hydro Majestic, Lilianfels, Echoes, Parklands."
bannisters,Bannisters Hotels,Bannisters Hotels Pty Ltd / Bannister Family,https://bannisters.com.au,,NSW,Mollymook,2,operator_group_lookup,Coastal luxury. Bannister family.
hunter-hotel-group,Hunter Hotel Group,Hunter Hotel Group Pty Ltd / Bill & Paul Hunter,https://hunterhotelgroup.com.au,,NSW,Newcastle,10,operator_group_lookup,"Family-owned. Bill & Paul Hunter. 10 venues across Newcastle, Central Coast, Hunter Region. Most recent acquisition Terrigal Hotel Aug 2025 ($47m)."
the-big-group,The Big Group,The Big Group Pty Ltd / Bruce Keebaugh,https://thebiggroup.com.au,https://thebiggroup.com.au,VIC,Melbourne,6,operator_group_lookup,"Melbourne high-society. Luminare, Glasshouse Olympic Park, Melbourne Museum."
atlantic-group,Atlantic Group,Atlantic Group Pty Ltd,https://atlanticgroup.com.au,https://atlanticgroup.com.au,VIC,Melbourne,5,operator_group_lookup,"South Wharf and Docklands. Peninsula, Woolshed, Sketch."
showtime-event-group,Showtime Event Group,Showtime Event Group Pty Ltd,https://showtimeeventgroup.com.au,https://showtimeeventgroup.com.au,VIC,Melbourne,6,operator_group_lookup,"Melbourne riverside. Showtime, Cargo Hall, State Library Victoria."
sand-hill-road,Sand Hill Road,Sand Hill Road Pty Ltd / Tom Birch,https://sandhillroad.com.au,https://sandhillroad.com.au,VIC,Melbourne,8,operator_group_lookup,"Pub-luxe. Garden State Hotel, The Espy, Newmarket, Posty."
mulberry-group,The Mulberry Group,The Mulberry Group Pty Ltd / Nathan Toleman,https://themulberrygroup.com.au,https://themulberrygroup.com.au,VIC,Melbourne,4,operator_group_lookup,"Creative Melbourne. Hazel, Dessous."
riverland-group,Riverland Group,Riverland Group Pty Ltd,https://riverlandgroup.com.au,https://riverlandgroup.com.au,VIC,Melbourne,4,operator_group_lookup,"Melbourne riverside. Boatbuilders Yard, Pilgrim Bar, Common Man."
european-group,European Group,European Group Pty Ltd / Lucas Group,https://eurogroup.com.au,https://eurogroup.com.au,VIC,Melbourne,5,operator_group_lookup,"Lucas family. CBD elegance. The European, Siglo, City Wine Shop."
lancemore-group,Lancemore Group,Lancemore Group Pty Ltd / Joinville Family,https://lancemore.com.au,https://lancemore.com.au,VIC,Hepburn Springs,5,operator_group_lookup,"Joinville family. Boutique regional. Werribee, Red Hill, Milawa."
jackalope-hotels,Jackalope Hotels,Jackalope Hotels Pty Ltd / Louis Li,https://jackalopehotels.com,https://jackalopehotels.com/weddings/,VIC,Mornington Peninsula,1,operator_group_lookup,Louis Li. Ultra-modern vineyard luxury.
zonzo-estate,Zonzo Estate,Zonzo Estate Pty Ltd,https://zonzo.com.au,https://zonzo.com.au/weddings/,VIC,Yarra Valley,1,operator_group_lookup,Vineyard wedding destination.
howard-smith-wharves,Howard Smith Wharves,Howard Smith Wharves Pty Ltd / Adam Flaskas,https://howardsmithwharves.com,https://howardsmithwharves.com/weddings/,QLD,Brisbane,6,operator_group_lookup,"Adam Flaskas. Brisbane Story Bridge cluster."
ghanem-group,The Ghanem Group,Ghanem Group Pty Ltd / Frank Li & Sam Ghanem,https://ghanemgroup.com.au,https://ghanemgroup.com.au,QLD,Brisbane,5,operator_group_lookup,"Premium Brisbane. Iris Rooftop, Donna Chang, Boom Boom."
artesian-hospitality,Artesian Hospitality,Artesian Hospitality / Artesian Corp,https://artesiancorp.com,https://artesiancorp.com,QLD,Gold Coast,5,operator_group_lookup,"Gold Coast. Cali Beach, Burleigh Pavilion."
morris-group,Morris Group,Morris Group Pty Ltd / Chris Morris,https://morrisgroup.com.au,https://morrisgroup.com.au,QLD,Cairns,3,operator_group_lookup,"Chris Morris (Computershare founder). Daintree, Orpheus, Mt Mulligan."
spicers-retreats,Spicers Retreats,Spicers Group Pty Ltd / Graham Turner,https://spicersretreats.com,https://spicersretreats.com/weddings/,QLD,Hunter+Scenic Rim,9,operator_group_lookup,Graham Turner (Flight Centre founder). Relaxed luxury retreats.
crystalbrook-collection,Crystalbrook Collection,Crystalbrook Collection Pty Ltd / Ghassan Aboud,https://crystalbrookcollection.com,https://crystalbrookcollection.com/weddings/,QLD,Cairns,6,operator_group_lookup,Ghassan Aboud Group. Sustainability-focused.
matthews-hospitality,Matthews Hospitality,Matthews Hospitality Pty Ltd,https://matthewshospitality.com.au,,SA,Adelaide,8,operator_group_lookup,"SA family. Clare Country Club, Mt Gambier Hotel."
australian-bespoke-collective,Australian Bespoke Collective,Australian Bespoke Collective Pty Ltd,https://australianbespokecollective.com.au,,SA,Adelaide Hills,3,operator_group_lookup,"Mount Lofty House, Sequoia Lodge, Reef House."
state-buildings,State Buildings,State Buildings Pty Ltd,https://statebuildings.com,https://statebuildings.com/weddings/,WA,Perth,5,operator_group_lookup,"Ultra-luxe Perth collective at Cathedral Square."
old-synagogue-group,The Old Synagogue,The Old Synagogue Group Pty Ltd,https://theoldsynagogue.com.au,https://theoldsynagogue.com.au,WA,Fremantle,4,operator_group_lookup,Iconic Fremantle.
sneakers-and-jeans,Sneakers and Jeans,Sneakers + Jeans Pty Ltd,https://sneakersandjeans.com.au,https://sneakersandjeans.com.au,WA,Perth,5,operator_group_lookup,Edgy high-design Perth.
federal-group,Federal Group,Federal Group / Farrell Family,https://federalgroup.com.au,,TAS,Hobart,4,operator_group_lookup,"Farrell family. Saffire Freycinet, Henry Jones, MACq 01, Wrest Point."
baillie-lodges,Baillie Lodges,Baillie Lodges Pty Ltd / Baillie Family,https://baillielodges.com.au,,SA,Adelaide,3,operator_group_lookup,"Hayley Baillie family. Southern Ocean Lodge, The Louise, Longitude 131."
evt-hospitality,EVT Hospitality,EVT Limited (ASX:EVT),https://evt.com,https://www.qthotels.com,NSW,Sydney,15,brand_affiliate_skip,"ASX-listed (EVT Limited). Owns QT, Rydges, Atura. ABR adds nothing — public company $2bn."
oaks-resorts,Oaks Hotels Resorts & Suites,Oaks Hotels Pty Ltd / Minor Hotels (Thai),https://oakshotels.com,https://oakshotels.com/en/weddings,QLD,Brisbane,15,brand_affiliate_skip,Owned by Minor Hotels (Thai). Brand affiliate.
peppers-retreats,Peppers Retreats,Peppers / Accor (acquired 2014),https://peppers.com.au,https://peppers.com.au/weddings/,NSW,Hunter Valley,15,brand_affiliate_skip,Accor-owned since 2014. Brand affiliate.
marriott-international,Marriott International,Marriott International Inc (NASDAQ),https://marriott.com,https://www.marriott.com/wedding-receptions.mi,USA,Bethesda,15,brand_affiliate_skip,"Global brand franchise. Brands: Ritz-Carlton, W, Sheraton, Westin, JW, Aloft, Four Points, Courtyard, Autograph Collection."
ihg-hotels,IHG Hotels & Resorts,InterContinental Hotels Group plc (LSE),https://ihg.com,https://www.ihg.com/content/us/en/weddings,UK,Denham,20,brand_affiliate_skip,"Global brand. InterContinental, Crowne Plaza, voco, Hotel Indigo, Holiday Inn, Kimpton."
accor-hotels,Accor,Accor SA (Euronext Paris),https://accor.com,https://accorevents.com/events/weddings,France,Paris,40,brand_affiliate_skip,"Global brand. AU brands include Sofitel, MGallery, Pullman, Mövenpick, Grand Mercure, Novotel, Mercure, Mantra, Art Series, Sebel, ibis. 360+ AU properties."
hilton-hotels,Hilton Australia,Hilton Worldwide Holdings (NYSE),https://hilton.com,https://www.hilton.com/en/groups/weddings/,USA,Tysons VA,5,brand_affiliate_skip,"Global brand. Hilton Sydney, Hilton Brisbane, Hilton Adelaide, DoubleTree Hilton Esplanade Darwin etc."
